"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"1",174.02,174.020526315789,174.021052631579,174.021578947368,174.022105263158,174.022631578947,174.023157894737,174.023684210526,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.036315789474,174.036842105263,174.037368421053,174.037894736842,174.038421052632,174.038947368421,174.039473684211,174.04
"2",170.710768297617,174.020526315789,174.021052631579,174.021578947368,174.022105263158,174.022631578947,174.023157894737,174.023684210526,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.036315789474,174.036842105263,174.037368421053,174.037894736842,174.038421052632,174.038947368421,174.039473684211,169.864149502019
"3",167.529371261146,172.531372049717,174.021052631579,174.021578947368,174.022105263158,174.022631578947,174.023157894737,174.023684210526,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.036315789474,174.036842105263,174.037368421053,174.037894736842,174.038421052632,174.038947368421,172.160340960119,165.894870396506
"4",164.470738453202,170.950827956698,173.350933211846,174.021578947368,174.022105263158,174.022631578947,174.023157894737,174.023684210526,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.036315789474,174.036842105263,174.037368421053,174.037894736842,174.038421052632,173.19333764258,170.186252090229,162.121697159454
"5",161.530000682953,169.114835044942,172.572676428014,173.720025208489,174.022105263158,174.022631578947,174.023157894737,174.023684210526,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.036315789474,174.036842105263,174.037368421053,174.037894736842,173.657896676003,172.220436678545,167.910390869938,158.534694759364
"6",158.702482018478,167.25768820443,171.532954756845,173.339654281876,173.886406080662,174.022631578947,174.023157894737,174.023684210526,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.036315789474,174.036842105263,174.037368421053,173.866658767359,173.182038804525,170.927773063528,165.630848234053,155.124431766523
"7",155.983692116161,165.331715369339,170.422099594522,172.772677805066,173.701669245437,173.961566946824,174.023157894737,174.023684210526,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.036315789474,174.036842105263,173.960312234785,173.635399128246,172.475698204352,169.558576473713,163.286576996928,151.881954825375
"8",153.369318854539,163.415777806741,169.189186887934,172.132963758488,173.400577062894,173.872328907761,173.995678810281,174.023684210526,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.036315789474,174.002166821443,173.848539778558,173.259744610436,171.684858841316,168.048881487947,160.976896784282,148.798764420892
"9",150.855221260524,161.492905364787,167.915852393147,171.378690153722,173.042439406101,173.715548033705,173.952773784257,174.011318622521,174.024210526316,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.035789473684,174.020711911755,173.948401687758,173.652714122201,172.816003839987,170.757367628404,166.502678180314,158.679130337406,145.866791873352
"10",148.437422716377,159.59627368063,166.583803222644,170.569100325034,172.596651124952,173.519400739032,173.872367373728,173.99077480201,174.018646011714,174.024736842105,174.025263157895,174.025789473684,174.026315789474,174.026842105263,174.027368421053,174.027894736842,174.028421052632,174.028947368421,174.029473684211,174.03,174.030526315789,174.031052631579,174.031578947368,174.032105263158,174.032631578947,174.033157894737,174.033684210526,174.034210526316,174.034736842105,174.035263157895,174.028767728711,173.994957213825,173.847881884056,173.409253899706,172.266137171771,169.769143671976,164.896691902646,156.43417455789,143.078377499248
